"#"	"Date"	"Heure, GMT+00:00"	"Temp., °C (LGR S/N: 20423490, SEN S/N: 20423490)"	"Coupleur détaché (LGR S/N: 20423490, SEN S/N: 20423490)"	"Coupleur attaché (LGR S/N: 20423490, SEN S/N: 20423490)"	"Hôte connecté (LGR S/N: 20423490, SEN S/N: 20423490)"	"Arrêté (LGR S/N: 20423490, SEN S/N: 20423490)"	"Fin de fichier (LGR S/N: 20423490, SEN S/N: 20423490)"
1	24/10/19	16:00:00	21.509	Enregistré				
2	24/10/19	17:00:00	21.485					
3	24/10/19	18:00:00	21.437					
4	24/10/19	19:00:00	21.342					
5	24/10/19	20:00:00	21.270					
6	24/10/19	21:00:00	21.246					
7	24/10/19	22:00:00	21.175					
8	24/10/19	23:00:00	21.223					
9	25/10/19	00:00:00	21.151					
10	25/10/19	01:00:00	20.960					
11	25/10/19	02:00:00	20.913					
12	25/10/19	03:00:00	21.199					
13	25/10/19	04:00:00	21.342					
14	25/10/19	05:00:00	21.366					
15	25/10/19	06:00:00	21.294					
16	25/10/19	07:00:00	21.199					
17	25/10/19	08:00:00	20.960					
18	25/10/19	09:00:00	21.175					
19	25/10/19	10:00:00	21.318					
20	25/10/19	11:00:00	21.246					
21	25/10/19	12:00:00	20.889					
22	25/10/19	13:00:00	20.746					
23	25/10/19	14:00:00	20.793					
24	25/10/19	15:00:00	21.079					
25	25/10/19	16:00:00	21.032					
26	25/10/19	17:00:00	21.008					
27	25/10/19	18:00:00	21.079					
28	25/10/19	19:00:00	21.056					
29	25/10/19	20:00:00	21.056					
30	25/10/19	21:00:00	20.865					
31	25/10/19	22:00:00	20.865					
32	25/10/19	23:00:00	21.103					
33	26/10/19	00:00:00	21.318					
34	26/10/19	01:00:00	21.246					
35	26/10/19	02:00:00	21.246					
36	26/10/19	03:00:00	21.199					
37	26/10/19	04:00:00	20.984					
38	26/10/19	05:00:00	20.674					
39	26/10/19	06:00:00	20.460					
40	26/10/19	07:00:00	20.198					
41	26/10/19	08:00:00	20.627					
42	26/10/19	09:00:00	20.722					
43	26/10/19	10:00:00	20.674					
44	26/10/19	11:00:00	20.650					
45	26/10/19	12:00:00	20.722					
46	26/10/19	13:00:00	20.793					
47	26/10/19	14:00:00	20.841					
48	26/10/19	15:00:00	20.841					
49	26/10/19	16:00:00	20.841					
50	26/10/19	17:00:00	20.698					
51	26/10/19	18:00:00	20.770					
52	26/10/19	19:00:00	20.936					
53	26/10/19	20:00:00	21.008					
54	26/10/19	21:00:00	20.698					
55	26/10/19	22:00:00	20.650					
56	26/10/19	23:00:00	19.841					
57	27/10/19	00:00:00	20.412					
58	27/10/19	01:00:00	20.531					
59	27/10/19	02:00:00	20.198					
60	27/10/19	03:00:00	20.674					
61	27/10/19	04:00:00	20.722					
62	27/10/19	05:00:00	20.722					
63	27/10/19	06:00:00	20.770					
64	27/10/19	07:00:00	20.841					
65	27/10/19	08:00:00	20.865					
66	27/10/19	09:00:00	20.865					
67	27/10/19	10:00:00	20.817					
68	27/10/19	11:00:00	20.960					
69	27/10/19	12:00:00	21.008					
70	27/10/19	13:00:00	20.746					
71	27/10/19	14:00:00	20.841					
72	27/10/19	15:00:00	20.722					
73	27/10/19	16:00:00	20.841					
74	27/10/19	17:00:00	20.841					
75	27/10/19	18:00:00	20.770					
76	27/10/19	19:00:00	20.746					
77	27/10/19	20:00:00	20.793					
78	27/10/19	21:00:00	20.531					
79	27/10/19	22:00:00	20.627					
80	27/10/19	23:00:00	20.841					
81	28/10/19	00:00:00	20.936					
82	28/10/19	01:00:00	20.960					
83	28/10/19	02:00:00	21.032					
84	28/10/19	03:00:00	21.008					
85	28/10/19	04:00:00	21.032					
86	28/10/19	05:00:00	20.865					
87	28/10/19	06:00:00	20.865					
88	28/10/19	07:00:00	20.913					
89	28/10/19	08:00:00	20.936					
90	28/10/19	09:00:00	20.984					
91	28/10/19	10:00:00	21.032					
92	28/10/19	11:00:00	21.103					
93	28/10/19	12:00:00	21.127					
94	28/10/19	13:00:00	21.175					
95	28/10/19	14:00:00	21.175					
96	28/10/19	15:00:00	21.175					
97	28/10/19	16:00:00	21.056					
98	28/10/19	17:00:00	21.079					
99	28/10/19	18:00:00	21.079					
100	28/10/19	19:00:00	21.151					
101	28/10/19	20:00:00	21.175					
102	28/10/19	21:00:00	21.246					
103	28/10/19	22:00:00	21.318					
104	28/10/19	23:00:00	21.318					
105	29/10/19	00:00:00	21.270					
106	29/10/19	01:00:00	21.294					
107	29/10/19	02:00:00	21.270					
108	29/10/19	03:00:00	21.151					
109	29/10/19	04:00:00	21.175					
