"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20969982, SEN S/N: 20969982)"	"Acoplador separado (LGR S/N: 20969982, SEN S/N: 20969982)"	"Acoplador adjunto (LGR S/N: 20969982, SEN S/N: 20969982)"	"Host conectado (LGR S/N: 20969982, SEN S/N: 20969982)"	"Parado (LGR S/N: 20969982, SEN S/N: 20969982)"	"Final de archivo (LGR S/N: 20969982, SEN S/N: 20969982)"
1	30/06/22	12:00:00	14.529	Registrado				
2	30/06/22	13:00:00	17.867					
3	30/06/22	14:00:00	18.319					
4	30/06/22	15:00:00	18.033					
5	30/06/22	16:00:00	19.246					
6	30/06/22	17:00:00	16.987					
7	30/06/22	18:00:00	19.651					
8	30/06/22	19:00:00	20.936					
9	30/06/22	20:00:00	20.341					
10	30/06/22	21:00:00	20.412					
11	30/06/22	22:00:00	19.103					
12	30/06/22	23:00:00	16.487					
13	01/07/22	00:00:00	14.385					
14	01/07/22	01:00:00	14.433					
15	01/07/22	02:00:00	14.146					
16	01/07/22	03:00:00	14.673					
17	01/07/22	04:00:00	16.392					
18	01/07/22	05:00:00	20.817					
19	01/07/22	06:00:00	21.748					
20	01/07/22	07:00:00	21.748					
21	01/07/22	08:00:00	21.700					
22	01/07/22	09:00:00	21.652					
23	01/07/22	10:00:00	21.581					
24	01/07/22	11:00:00	21.700					
25	01/07/22	12:00:00	21.724					
26	01/07/22	13:00:00	21.676					
27	01/07/22	14:00:00	21.652					
28	01/07/22	15:00:00	21.748					
29	01/07/22	16:00:00	21.843					
30	01/07/22	17:00:00	21.270					
31	01/07/22	18:00:00	14.361					
32	01/07/22	19:00:00	14.433					
33	01/07/22	20:00:00	13.930					
34	01/07/22	21:00:00	13.906					
35	01/07/22	22:00:00	14.026					
36	01/07/22	23:00:00	14.194					
37	02/07/22	00:00:00	14.194					
38	02/07/22	01:00:00	14.194					
39	02/07/22	02:00:00	15.963					
40	02/07/22	03:00:00	21.533					
41	02/07/22	04:00:00	19.817					
42	02/07/22	05:00:00	17.796					
43	02/07/22	06:00:00	19.008					
44	02/07/22	07:00:00	17.534					
45	02/07/22	08:00:00	14.673					
46	02/07/22	09:00:00	14.314					
47	02/07/22	10:00:00	14.577					
48	02/07/22	11:00:00	14.361					
49	02/07/22	12:00:00	14.050					
50	02/07/22	13:00:00	14.098					
51	02/07/22	14:00:00	14.002					
