"#"	"Date"	"Heure, GMT+01:00"	"Temp., °C (LGR S/N: 10230442, SEN S/N: 10230442)"	"Coupleur détaché (LGR S/N: 10230442, SEN S/N: 10230442)"	"Coupleur attaché (LGR S/N: 10230442, SEN S/N: 10230442)"	"Hôte connecté (LGR S/N: 10230442, SEN S/N: 10230442)"	"Arrêté (LGR S/N: 10230442, SEN S/N: 10230442)"	"Fin de fichier (LGR S/N: 10230442, SEN S/N: 10230442)"
1	16/11/18	11:00:00	18.985	Enregistré				
2	16/11/18	12:00:00	19.008					
3	16/11/18	13:00:00	19.032					
4	16/11/18	14:00:00	19.008					
5	16/11/18	15:00:00	19.032					
6	16/11/18	16:00:00	19.032					
7	16/11/18	17:00:00	19.008					
8	16/11/18	18:00:00	19.008					
9	16/11/18	19:00:00	18.985					
10	16/11/18	20:00:00	18.985					
11	16/11/18	21:00:00	18.985					
12	16/11/18	22:00:00	18.985					
13	16/11/18	23:00:00	18.961					
14	17/11/18	00:00:00	18.866					
15	17/11/18	01:00:00	18.818					
16	17/11/18	02:00:00	18.866					
17	17/11/18	03:00:00	18.842					
18	17/11/18	04:00:00	18.866					
19	17/11/18	05:00:00	18.794					
20	17/11/18	06:00:00	18.771					
21	17/11/18	07:00:00	18.794					
22	17/11/18	08:00:00	18.818					
23	17/11/18	09:00:00	18.842					
24	17/11/18	10:00:00	18.866					
25	17/11/18	11:00:00	18.842					
26	17/11/18	12:00:00	18.842					
27	17/11/18	13:00:00	18.913					
28	17/11/18	14:00:00	18.937					
29	17/11/18	15:00:00	18.985					
30	17/11/18	16:00:00	19.008					
31	17/11/18	17:00:00	19.032					
32	17/11/18	18:00:00	19.032					
33	17/11/18	19:00:00	19.032					
34	17/11/18	20:00:00	19.008					
35	17/11/18	21:00:00	19.008					
36	17/11/18	22:00:00	19.008					
37	17/11/18	23:00:00	19.008					
38	18/11/18	00:00:00	19.008					
39	18/11/18	01:00:00	19.008					
40	18/11/18	02:00:00	18.985					
41	18/11/18	03:00:00	18.961					
42	18/11/18	04:00:00	18.961					
43	18/11/18	05:00:00	18.937					
44	18/11/18	06:00:00	18.937					
45	18/11/18	07:00:00	19.008					
46	18/11/18	08:00:00	19.032					
47	18/11/18	09:00:00	19.008					
48	18/11/18	10:00:00	19.032					
49	18/11/18	11:00:00	19.056					
50	18/11/18	12:00:00	19.103					
51	18/11/18	13:00:00	19.103					
52	18/11/18	14:00:00	19.080					
53	18/11/18	15:00:00	19.127					
54	18/11/18	16:00:00	19.151					
55	18/11/18	17:00:00	19.127					
56	18/11/18	18:00:00	19.103					
57	18/11/18	19:00:00	19.080					
58	18/11/18	20:00:00	19.080					
59	18/11/18	21:00:00	19.056					
60	18/11/18	22:00:00	19.056					
61	18/11/18	23:00:00	19.032					
